file,site_id,year,flatline_points,flatline_events
Raw_data_1Hr_2009_site_113_Shadipur_Delhi_CPCB_1Hr.csv,113,2009,2386,127
Raw_data_1Hr_2009_site_114_IHBAS_Dilshad_Garden_Delhi_CPCB_1Hr.csv,114,2009,2936,145
Raw_data_1Hr_2009_site_115_NSIT_Dwarka_Delhi_CPCB_1Hr.csv,115,2009,3522,334
Raw_data_1Hr_2009_site_117_ITO_Delhi_CPCB_1Hr.csv,117,2009,4856,335
Raw_data_1Hr_2009_site_118_DTU_Delhi_CPCB_1Hr.csv,118,2009,8638,579
Raw_data_1Hr_2009_site_119_Sirifort_Delhi_CPCB_1Hr.csv,119,2009,5485,397
Raw_data_1Hr_2010_site_113_Shadipur_Delhi_CPCB_1Hr.csv,113,2010,1137,137
Raw_data_1Hr_2010_site_114_IHBAS_Dilshad_Garden_Delhi_CPCB_1Hr.csv,114,2010,1219,146
Raw_data_1Hr_2010_site_115_NSIT_Dwarka_Delhi_CPCB_1Hr.csv,115,2010,4257,442
Raw_data_1Hr_2010_site_117_ITO_Delhi_CPCB_1Hr.csv,117,2010,2517,193
Raw_data_1Hr_2010_site_118_DTU_Delhi_CPCB_1Hr.csv,118,2010,2206,209
Raw_data_1Hr_2010_site_119_Sirifort_Delhi_CPCB_1Hr.csv,119,2010,1501,162
Raw_data_1Hr_2011_site_113_Shadipur_Delhi_CPCB_1Hr.csv,113,2011,3635,356
Raw_data_1Hr_2011_site_114_IHBAS_Dilshad_Garden_Delhi_CPCB_1Hr.csv,114,2011,3653,312
Raw_data_1Hr_2011_site_115_NSIT_Dwarka_Delhi_CPCB_1Hr.csv,115,2011,4830,397
Raw_data_1Hr_2011_site_117_ITO_Delhi_CPCB_1Hr.csv,117,2011,2816,273
Raw_data_1Hr_2011_site_118_DTU_Delhi_CPCB_1Hr.csv,118,2011,2645,257
Raw_data_1Hr_2011_site_119_Sirifort_Delhi_CPCB_1Hr.csv,119,2011,8508,338
Raw_data_1Hr_2011_site_122_Mandir_Marg_Delhi_DPCC_1Hr.csv,122,2011,3440,137
Raw_data_1Hr_2011_site_124_R_K_Puram_Delhi_DPCC_1Hr.csv,124,2011,2988,184
